"","Output","V65","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"393","6",6,0,0,1,11,14,0,0,0,0,0,9,16,12,0,0,0,0,1,16,7,0,0,0,0,0,7,16,5,5,4,0,0,0,7,16,16,16,16,5,0,0,0,16,13,4,13,7,0,0,0,9,16,14,16,4,0,0,0,1,11,14,9,0,0
"394","4",7,0,0,2,12,8,7,6,2,0,0,9,16,15,16,16,5,0,0,13,11,0,10,14,0,0,0,11,3,2,15,4,0,0,0,0,0,11,9,0,0,0,0,0,8,16,4,0,0,0,0,0,15,12,0,0,0,0,0,4,16,2,0,0,0
"395","8",8,0,0,1,6,8,9,3,0,0,0,13,15,12,11,7,0,0,0,13,11,0,9,7,0,0,0,5,15,15,15,0,0,0,0,1,14,16,16,0,0,0,0,11,9,0,16,1,0,0,0,9,10,10,13,0,0,0,0,3,11,9,2,0,0
"396","9",9,0,0,7,14,13,8,0,0,0,1,15,13,14,14,0,0,0,0,13,13,13,16,3,0,0,0,4,14,13,16,4,0,0,0,0,0,0,12,4,0,0,0,0,0,0,14,4,0,0,7,16,9,10,15,2,0,0,1,8,13,15,8,0,0
"397","0",0,0,0,4,13,12,1,0,0,0,2,15,14,16,13,0,0,0,6,16,4,6,16,5,0,0,8,15,1,0,12,8,0,0,8,12,0,0,12,8,0,0,5,13,0,1,13,8,0,0,1,15,10,12,16,3,0,0,0,6,16,13,4,0,0
"398","1",1,0,0,1,8,16,7,0,0,0,0,3,16,16,12,0,0,0,1,15,16,16,12,0,0,0,3,12,15,16,12,0,0,0,0,0,8,16,10,0,0,0,0,0,11,16,14,0,0,0,0,0,11,16,16,1,0,0,0,0,5,13,7,0,0
"399","2",2,0,0,7,13,3,0,0,0,0,0,15,16,11,0,0,0,0,0,14,5,15,3,0,0,0,0,6,2,14,5,0,0,0,0,0,0,12,8,0,0,0,0,0,6,16,4,4,0,0,0,7,16,16,16,16,3,0,0,6,15,6,9,9,1
"400","4",3,0,0,10,16,10,0,0,0,0,8,16,14,16,2,0,0,0,3,15,8,16,3,0,0,0,0,0,11,16,7,0,0,0,0,0,3,10,15,2,0,0,0,10,0,0,14,8,0,0,1,16,6,8,13,8,0,0,1,15,16,13,10,1,0
"401","4",4,0,0,0,11,4,0,0,0,0,0,1,16,4,3,0,0,0,0,10,9,16,4,0,0,0,2,14,5,16,2,0,0,0,8,13,7,16,11,2,0,0,10,16,16,16,14,1,0,0,0,0,11,13,0,0,0,0,0,0,11,7,0,0,0
"402","5",5,0,1,8,8,9,13,8,0,0,2,16,16,16,14,9,0,0,3,16,2,0,0,0,0,0,5,16,16,15,1,0,0,0,5,10,8,15,5,0,0,0,0,0,0,13,7,0,0,0,0,15,12,16,2,0,0,0,0,11,16,9,0,0,0
"403","4",6,0,0,2,11,13,4,0,0,0,0,12,16,13,15,0,0,0,0,16,9,1,3,0,0,0,4,16,6,14,9,1,0,0,7,16,16,16,16,6,0,0,1,16,14,4,16,8,0,0,0,12,16,13,16,2,0,0,0,2,10,16,7,0,0
"404","4",7,0,0,1,8,8,9,12,7,0,0,8,16,12,13,16,5,0,0,11,6,0,8,11,0,0,0,15,3,1,15,3,0,0,0,1,0,10,9,0,0,0,0,0,3,13,1,0,0,0,0,0,13,7,0,0,0,0,0,1,11,1,0,0,0
"405","8",8,0,0,5,11,8,7,0,0,0,3,16,11,9,16,4,0,0,0,14,3,7,15,0,0,0,0,5,15,15,3,0,0,0,0,10,15,14,1,0,0,0,4,13,0,9,7,0,0,0,3,11,5,13,7,0,0,0,0,6,10,6,0,0,0
"406","9",9,0,0,5,16,11,0,0,0,0,0,12,13,13,11,0,0,0,0,13,8,6,16,0,0,0,0,7,14,16,16,4,0,0,0,0,7,8,14,7,0,0,0,4,0,0,8,12,0,0,1,15,11,8,13,11,0,0,0,5,11,12,14,3,0
"407","0",0,0,0,3,12,11,1,0,0,0,1,14,14,15,8,0,0,0,3,16,2,5,16,1,0,0,4,16,0,0,14,6,0,0,4,16,0,0,11,8,0,0,3,16,2,0,10,8,0,0,0,10,15,13,16,3,0,0,0,1,15,14,6,0,0
"408","1",1,0,0,0,5,15,13,1,0,0,0,2,14,16,16,4,0,0,0,8,16,16,16,4,0,0,6,15,16,16,16,1,0,0,3,7,10,16,16,4,0,0,0,0,11,16,16,1,0,0,0,0,12,16,16,1,0,0,0,0,6,14,12,1,0
"409","2",2,0,0,9,11,2,0,0,0,0,8,16,14,12,0,0,0,0,9,10,5,15,0,0,0,0,5,10,4,16,1,0,0,0,0,0,5,15,0,0,0,0,0,2,13,9,2,1,0,0,0,10,16,15,14,15,0,0,0,7,9,9,12,4,0
"410","7",3,0,0,3,13,13,1,0,0,0,0,10,15,16,7,0,0,0,0,5,3,15,10,0,0,0,0,0,0,16,15,1,0,0,2,7,0,4,16,8,0,0,5,13,0,0,14,9,0,0,0,14,11,9,16,8,0,0,0,3,12,13,8,0,0
"411","4",4,0,0,0,4,12,0,0,0,0,0,0,12,16,8,0,0,0,0,4,16,15,8,0,0,0,1,15,8,14,7,0,0,0,6,16,8,14,14,4,0,0,10,16,16,16,13,1,0,0,0,0,2,16,4,0,0,0,0,0,4,13,2,0,0
"412","5",5,0,0,6,8,11,14,14,0,0,1,16,16,13,12,7,0,0,0,16,7,1,0,0,0,0,4,16,16,15,1,0,0,0,1,5,6,13,9,0,0,0,0,6,0,12,9,0,0,0,0,12,10,16,4,0,0,0,0,10,14,8,0,0,0
"413","6",6,0,0,1,11,14,6,0,0,0,0,4,16,14,4,0,0,0,0,12,16,2,0,0,0,0,2,16,16,12,5,0,0,0,7,16,16,16,16,3,0,0,3,15,5,0,15,13,0,0,0,11,16,14,16,10,0,0,0,0,12,13,9,1,0
"414","4",7,0,0,2,10,10,12,15,10,0,0,9,16,12,8,15,6,0,0,13,9,0,4,12,1,0,1,16,3,1,13,2,0,0,0,5,0,9,7,0,0,0,0,0,3,13,1,0,0,0,0,0,12,7,0,0,0,0,0,0,14,2,0,0,0
"415","2",8,0,0,1,11,14,5,0,0,0,1,16,14,6,13,1,0,0,9,14,2,0,16,4,0,0,5,13,0,6,16,1,0,0,1,15,16,16,12,0,0,0,0,5,14,3,13,4,0,0,0,3,15,7,16,1,0,0,0,0,11,16,8,0,0
"416","9",9,0,0,3,14,10,3,0,0,0,0,10,14,13,15,1,0,0,0,12,4,4,16,4,0,0,0,6,15,15,16,8,0,0,0,1,8,8,14,8,0,0,0,2,0,0,9,11,0,0,0,16,10,8,12,12,0,0,0,7,12,14,14,6,0
"417","0",0,0,0,4,14,9,0,0,0,0,0,13,16,16,10,0,0,0,4,16,4,5,16,6,0,0,8,14,0,1,15,5,0,0,6,16,0,0,13,4,0,0,4,15,1,7,16,1,0,0,2,15,14,16,7,0,0,0,0,4,13,9,0,0,0
"418","9",9,0,0,5,14,11,1,0,0,0,0,16,10,14,13,0,0,0,0,14,2,8,16,6,0,0,0,12,7,10,16,8,0,0,0,5,16,16,15,8,0,0,1,3,1,2,11,9,0,0,1,15,6,4,12,11,0,0,0,6,16,14,12,3,0
"419","5",5,0,1,14,13,12,8,5,0,0,4,16,11,12,15,7,0,0,8,16,16,13,1,0,0,0,3,9,7,15,7,0,0,0,0,0,0,8,9,0,0,0,0,2,0,6,12,0,0,0,0,16,8,12,11,0,0,0,0,12,14,12,4,0,0
"420","5",5,0,1,8,12,16,16,7,0,0,7,16,12,12,12,5,0,0,4,13,3,0,0,0,0,0,4,16,16,13,0,0,0,0,2,8,6,15,6,0,0,0,0,7,0,9,12,0,0,0,0,16,11,13,12,0,0,0,0,5,13,12,5,0,0
"421","6",6,0,0,1,9,14,11,1,0,0,0,10,15,9,13,5,0,0,3,16,7,0,0,0,0,0,5,16,16,16,10,0,0,0,7,16,11,10,16,5,0,0,2,16,5,0,12,8,0,0,0,10,15,13,16,5,0,0,0,0,9,12,7,0,0
"422","4",5,0,0,11,10,12,14,11,0,0,0,16,16,16,16,7,0,0,1,16,16,16,12,0,0,0,1,5,2,11,15,0,0,0,0,1,0,2,16,0,0,0,3,12,0,3,15,0,0,0,6,15,8,13,11,0,0,0,0,9,14,9,2,0,0
"423","0",0,0,0,10,15,6,0,0,0,0,2,16,14,16,7,0,0,0,4,16,8,5,16,1,0,0,5,12,0,0,12,8,0,0,8,9,0,0,12,8,0,0,5,12,0,1,15,3,0,0,4,13,4,12,13,0,0,0,0,9,16,13,4,0,0
"424","2",9,0,0,9,16,11,1,0,0,0,5,16,10,16,9,0,0,0,6,14,1,9,15,0,0,0,1,15,6,11,16,2,0,0,0,7,16,15,16,7,0,0,0,0,3,1,11,9,0,0,3,14,9,9,14,12,0,0,0,12,16,16,13,3,0
"425","8",8,0,0,4,15,13,3,0,0,0,1,16,13,16,15,1,0,0,6,15,0,4,16,4,0,0,3,15,14,16,14,0,0,0,0,4,16,16,11,0,0,0,0,11,12,8,16,5,0,0,0,16,10,12,16,3,0,0,0,7,16,13,7,0,0
"426","9",9,0,1,7,12,13,3,0,0,0,7,13,6,15,14,0,0,0,6,10,0,13,16,0,0,0,1,13,13,15,16,1,0,0,0,0,4,1,12,8,0,0,0,0,0,0,12,8,0,0,0,12,13,5,14,8,0,0,0,5,12,16,11,1,0
"427","8",8,0,0,5,12,9,1,0,0,0,0,16,9,15,9,0,0,0,2,14,1,10,12,0,0,0,0,9,14,16,11,0,0,0,0,3,15,16,9,0,0,0,0,12,10,3,13,1,0,0,0,11,8,5,16,3,0,0,0,4,10,8,3,0,0
"428","4",4,0,0,0,5,14,0,0,0,0,0,0,13,14,12,0,0,0,0,7,13,6,13,0,0,0,2,16,3,10,11,0,0,0,6,16,13,16,16,5,0,0,2,8,9,16,11,2,0,0,0,0,3,16,0,0,0,0,0,0,7,12,0,0,0
"429","1",1,0,0,0,1,12,7,0,0,0,0,0,9,16,16,1,0,0,1,7,15,16,14,0,0,0,4,16,16,16,16,0,0,0,0,0,3,16,16,0,0,0,0,0,2,16,16,3,0,0,0,0,6,16,16,0,0,0,0,0,3,15,13,0,0
"430","9",7,0,0,1,8,11,13,15,3,0,0,7,16,10,10,16,5,0,1,13,3,0,9,14,0,0,3,15,0,2,15,4,0,0,5,8,0,10,11,0,0,0,0,0,2,15,4,0,0,0,0,0,8,14,0,0,0,0,0,0,13,7,0,0,0
"431","4",7,0,0,6,12,12,15,16,6,0,2,15,16,14,16,15,3,0,3,16,6,6,16,6,0,0,7,15,4,14,11,0,0,0,1,2,8,15,3,0,0,0,0,1,16,9,0,0,0,0,0,6,16,4,0,0,0,0,0,8,16,3,0,0,0
"432","5",3,0,0,6,15,14,2,0,0,0,5,16,11,14,12,0,0,0,5,11,3,16,5,0,0,0,0,0,14,16,7,0,0,0,0,0,8,10,16,3,0,0,1,4,0,0,12,7,0,0,7,16,5,6,16,5,0,0,1,8,15,16,12,1,0
"433","5",5,0,0,3,8,9,11,14,1,0,0,9,16,16,16,13,0,0,0,16,5,8,0,0,0,0,4,16,16,16,6,0,0,0,2,9,2,9,10,0,0,0,0,0,0,8,8,0,0,0,0,8,12,13,5,0,0,0,0,5,13,10,1,0,0
"434","1",1,0,0,0,5,16,8,0,0,0,0,4,16,16,8,0,0,0,2,15,16,16,8,0,0,0,4,8,12,16,5,0,0,0,0,0,6,16,11,0,0,0,0,0,6,16,12,0,0,0,0,0,6,16,15,1,0,0,0,0,4,15,11,2,0
"435","0",0,0,0,2,15,10,1,0,0,0,2,13,12,14,9,0,0,0,6,16,1,1,14,2,0,0,8,16,0,0,10,5,0,0,8,14,2,0,8,8,0,0,6,14,0,0,8,8,0,0,1,14,12,8,15,6,0,0,0,3,13,16,8,1,0
"436","0",0,0,0,2,15,8,0,0,0,0,0,7,14,15,8,0,0,0,7,15,3,3,15,0,0,0,6,16,1,0,9,8,0,0,4,12,0,0,8,8,0,0,0,12,3,0,12,7,0,0,0,9,13,13,15,1,0,0,0,1,9,12,5,0,0
"437","2",2,0,0,11,15,4,0,0,0,0,5,16,15,15,0,0,0,0,0,14,11,16,2,0,0,0,0,0,4,16,5,0,0,0,0,0,4,16,6,0,0,0,0,0,7,16,10,3,0,0,0,11,16,16,16,16,6,0,0,11,16,10,5,13,6
"438","2",2,0,0,12,15,3,0,0,0,0,6,15,12,14,0,0,0,0,7,5,1,16,2,0,0,0,0,0,0,11,7,0,0,0,0,0,2,15,3,0,0,0,0,0,8,14,1,0,0,0,0,12,16,12,8,5,0,0,0,9,8,13,15,7,0
"439","4",7,0,0,2,12,12,12,9,2,0,0,9,15,12,13,16,5,0,0,12,8,0,8,10,0,0,1,16,3,3,15,2,0,0,1,3,0,12,7,0,0,0,0,0,4,13,0,0,0,0,0,0,13,9,0,0,0,0,0,3,15,3,0,0,0
"440","2",8,0,0,3,9,14,7,0,0,0,3,15,11,8,15,2,0,0,4,16,5,2,16,7,0,0,0,4,15,13,16,7,0,0,0,0,6,16,16,1,0,0,0,2,15,8,16,7,0,0,0,4,16,4,15,7,0,0,0,0,10,15,10,0,0
"441","2",2,0,0,7,13,2,0,0,0,0,11,15,12,13,0,0,0,0,12,7,0,16,4,0,0,0,4,4,0,14,8,0,0,0,0,0,0,14,7,0,0,0,0,0,4,16,3,0,0,0,0,12,16,16,12,9,0,0,0,9,12,8,10,14,0
"442","0",0,0,0,4,15,12,2,0,0,0,2,15,7,11,10,0,0,0,4,16,0,0,15,1,0,0,6,10,0,0,10,8,0,0,8,8,0,0,6,8,0,0,5,12,0,0,11,8,0,0,2,16,7,8,16,2,0,0,0,6,15,16,8,0,0
"443","3",1,0,0,7,10,0,0,0,0,0,0,9,16,0,0,0,0,0,0,6,16,5,0,0,0,0,0,9,16,9,0,0,0,0,0,0,6,14,1,0,0,0,0,0,2,16,4,0,0,0,0,1,4,14,12,4,1,0,0,7,16,16,16,16,5
"444","2",2,0,0,7,15,6,0,0,0,0,4,16,9,14,3,0,0,0,2,14,0,13,6,0,0,0,0,2,0,11,10,0,0,0,0,0,0,13,6,0,0,0,0,0,5,15,7,0,0,0,0,9,16,16,16,15,0,0,0,6,15,7,4,6,1
"445","6",6,0,0,0,11,12,1,0,0,0,0,8,16,9,4,0,0,0,0,3,4,0,0,0,0,0,1,0,2,8,2,0,0,0,5,16,16,16,14,2,0,0,2,16,9,3,13,7,0,0,0,11,14,7,16,9,0,0,0,1,10,14,10,2,0
"446","9",3,0,0,3,10,13,7,0,0,0,1,14,13,15,14,0,0,0,0,15,5,14,9,0,0,0,0,0,10,16,5,0,0,0,0,0,7,14,16,3,0,0,4,5,0,2,16,4,0,0,10,16,10,8,16,3,0,0,0,5,12,14,8,0,0
"447","5",3,0,0,3,14,13,0,0,0,0,2,16,9,16,2,0,0,0,4,12,3,16,0,0,0,0,2,9,15,16,10,1,0,0,0,0,11,8,16,6,0,0,0,6,0,0,12,8,0,0,0,14,10,5,16,7,0,0,0,3,13,16,11,1,0
"448","5",7,0,0,0,10,12,15,16,13,0,0,6,15,6,4,14,9,0,0,10,6,0,3,14,2,0,1,14,1,0,12,6,0,0,0,3,0,5,13,0,0,0,0,0,1,13,3,0,0,0,0,0,6,13,0,0,0,0,0,0,14,6,0,0,0
"449","7",3,0,0,4,13,14,2,0,0,0,0,15,10,11,10,0,0,0,3,15,2,12,6,0,0,0,0,3,8,16,7,0,0,0,0,0,4,9,16,2,0,0,0,10,3,0,13,6,0,0,0,16,5,7,16,3,0,0,0,7,13,13,8,0,0
"450","5",3,0,0,5,14,9,0,0,0,0,1,16,13,16,0,0,0,0,2,13,10,14,0,0,0,0,0,4,16,16,7,0,0,0,0,2,4,5,16,4,0,0,0,0,0,0,14,7,0,0,0,11,8,8,16,4,0,0,0,8,13,15,10,0,0
"451","4",4,0,0,0,5,8,0,0,0,0,0,1,15,10,5,0,0,0,0,9,11,10,10,0,0,0,2,15,2,14,6,0,0,0,8,13,5,14,13,4,0,0,11,16,16,16,14,3,0,0,0,0,3,16,0,0,0,0,0,0,7,10,0,0,0
"452","6",6,0,0,0,12,15,1,0,0,0,0,4,16,13,1,0,0,0,1,14,15,2,0,0,0,0,4,16,15,10,7,0,0,0,7,16,16,12,16,6,0,0,3,16,13,0,16,12,0,0,0,11,16,13,16,12,0,0,0,1,9,13,12,4,0
"453","6",6,0,0,2,15,13,3,0,0,0,0,12,16,9,4,0,0,0,3,16,9,0,0,0,0,0,3,16,14,12,5,0,0,0,8,16,16,16,16,0,0,0,5,16,15,6,16,9,0,0,1,13,14,13,16,3,0,0,0,3,12,14,10,0,0
"454","6",6,0,0,2,12,16,6,0,0,0,0,5,16,12,4,0,0,0,0,15,14,0,0,0,0,0,2,16,14,8,8,0,0,0,4,16,16,13,15,8,0,0,4,16,11,1,12,12,0,0,0,11,16,12,14,15,0,0,0,1,8,12,12,6,0
"455","4",4,0,0,0,4,9,0,0,0,0,0,0,12,11,0,0,0,0,0,4,13,16,4,0,0,0,0,12,6,14,4,0,0,0,4,16,9,15,13,3,0,0,4,12,12,16,14,6,0,0,0,0,0,16,4,0,0,0,0,0,2,16,3,0,0
"456","9",9,0,0,10,16,13,5,0,0,0,7,13,5,14,12,0,0,0,9,10,0,13,14,0,0,0,4,15,13,16,15,3,0,0,0,2,6,3,12,8,0,0,0,0,0,0,12,8,0,0,0,12,6,5,15,4,0,0,0,9,13,16,8,0,0
"457","1",1,0,0,0,2,16,15,3,0,0,0,0,8,16,16,4,0,0,0,9,16,16,14,0,0,0,7,16,16,16,12,0,0,0,0,0,8,16,12,0,0,0,0,0,7,16,12,0,0,0,0,0,4,16,16,7,0,0,0,0,0,13,16,7,0
"458","5",5,0,0,4,12,16,16,11,2,0,0,15,13,8,11,8,1,0,2,15,13,16,8,0,0,0,6,16,13,13,16,2,0,0,7,11,2,2,16,6,0,0,0,0,0,5,15,2,0,0,0,9,6,13,10,0,0,0,0,7,14,13,1,0,0
"459","0",0,0,0,3,14,10,1,0,0,0,2,14,12,15,14,1,0,0,6,13,0,3,14,8,0,0,5,12,0,0,11,8,0,0,4,14,0,0,12,7,0,0,1,14,4,3,16,3,0,0,0,8,12,12,12,0,0,0,0,2,15,10,3,0,0
"460","9",9,0,0,7,14,10,7,0,0,0,5,16,14,16,14,0,0,0,7,11,0,9,14,1,0,0,4,14,7,11,16,5,0,0,0,9,15,15,12,8,0,0,0,0,1,1,8,9,0,0,0,14,11,10,15,9,0,0,0,9,13,13,9,0,0
"461","5",5,0,0,9,13,14,15,13,0,0,0,16,13,12,12,5,0,0,4,16,0,0,0,0,0,0,8,16,16,11,1,0,0,0,1,7,8,16,12,0,0,0,0,0,0,9,13,0,0,0,0,12,8,12,10,0,0,0,0,10,16,13,3,0,0
"462","1",2,0,0,10,13,2,0,0,0,0,0,12,16,10,0,0,0,0,0,7,14,16,0,0,0,0,0,0,2,16,1,0,0,0,0,0,2,16,1,0,0,0,0,4,8,15,0,0,0,0,0,16,16,16,13,11,0,0,0,8,14,8,11,14,1
"463","8",8,0,0,1,7,6,11,1,0,0,0,13,11,15,16,7,0,0,0,13,6,11,16,4,0,0,0,3,15,16,7,0,0,0,0,4,15,14,7,0,0,0,1,14,3,1,13,0,0,0,2,12,2,3,12,0,0,0,0,1,10,8,1,0,0
"464","2",2,0,0,13,14,3,0,0,0,0,4,16,15,11,0,0,0,0,7,12,4,16,0,0,0,0,3,6,4,16,0,0,0,0,0,0,9,12,0,0,0,0,0,1,14,7,0,0,0,0,1,14,16,10,10,2,0,0,0,11,12,14,14,6,0
"465","0",0,0,0,4,15,12,1,0,0,0,0,12,11,13,13,1,0,0,3,12,0,0,14,6,0,0,8,12,0,0,11,8,0,0,8,12,0,0,8,8,0,0,6,13,0,0,11,7,0,0,4,16,7,10,15,2,0,0,0,7,13,12,2,0,0
"466","0",0,0,0,3,16,9,0,0,0,0,4,15,15,16,7,0,0,0,8,16,3,7,12,0,0,0,6,16,3,0,13,3,0,0,8,10,0,0,12,8,0,0,1,15,2,0,9,11,0,0,0,13,14,10,15,12,0,0,0,3,10,16,14,3,0
"467","1",1,0,0,0,5,16,9,0,0,0,0,1,13,16,6,0,0,0,0,13,16,16,4,0,0,0,5,15,16,16,5,0,0,0,0,0,10,16,7,0,0,0,0,0,9,16,8,0,0,0,0,0,9,16,13,0,0,0,0,0,5,14,9,0,0
"468","5",7,0,0,1,11,12,13,14,5,0,0,7,15,11,10,16,6,0,0,10,7,0,2,16,2,0,1,16,1,0,12,8,0,0,2,11,0,4,14,1,0,0,0,0,1,14,4,0,0,0,0,0,8,14,0,0,0,0,0,0,15,7,0,0,0
"469","6",6,0,0,0,9,14,4,0,0,0,0,6,16,12,4,0,0,0,1,16,11,0,0,0,0,0,2,16,7,3,0,0,0,0,4,16,14,16,10,0,0,0,3,16,15,10,16,6,0,0,0,12,16,7,13,9,0,0,0,1,11,16,16,9,0
"470","6",3,0,0,7,13,11,0,0,0,0,6,16,11,16,0,0,0,0,3,8,5,16,0,0,0,0,0,3,15,16,6,0,0,0,0,0,7,8,16,5,0,0,6,8,0,0,11,9,0,0,0,16,6,6,14,6,0,0,0,6,15,16,10,0,0
"471","2",2,0,0,11,11,2,0,0,0,0,3,16,16,8,0,0,0,0,6,12,8,8,0,0,0,0,0,5,6,12,0,0,0,0,0,0,11,9,0,0,0,0,0,0,15,6,3,5,0,0,0,13,16,13,15,9,0,0,1,12,12,12,12,1,0
"472","1",1,0,0,0,6,16,6,0,0,0,0,0,13,16,10,0,0,0,0,9,16,16,6,0,0,0,3,16,16,16,4,0,0,0,5,16,16,16,6,0,0,0,0,0,9,16,10,0,0,0,0,0,8,16,15,0,0,0,0,0,4,13,11,2,0
"473","4",7,0,0,6,15,8,10,12,2,0,0,10,14,10,12,16,1,0,0,9,10,1,13,7,0,0,0,4,4,8,12,1,0,0,0,0,2,15,5,0,0,0,0,0,11,8,0,0,0,0,0,3,16,0,0,0,0,0,0,7,14,0,0,0,0
"474","4",4,0,0,0,0,7,6,0,0,0,0,0,6,15,6,0,0,0,0,1,15,5,14,3,0,0,0,12,8,4,16,0,0,0,5,16,9,10,16,4,0,0,1,11,12,14,14,4,0,0,0,0,0,8,8,0,0,0,0,0,0,11,7,0,0
"475","6",6,0,0,0,9,14,2,0,0,0,0,2,16,12,0,0,0,0,0,10,16,7,0,0,0,0,0,16,16,16,8,0,0,0,4,16,14,8,15,3,0,0,1,15,6,0,11,11,0,0,0,10,15,7,12,16,0,0,0,1,9,15,15,10,0
"476","3",3,0,0,6,15,11,0,0,0,0,6,16,13,16,0,0,0,0,2,7,13,9,0,0,0,0,0,3,16,15,5,0,0,0,0,0,3,11,16,2,0,0,0,0,0,0,16,7,0,0,0,16,11,10,16,7,0,0,0,5,16,15,9,0,0
"477","2",1,0,0,0,0,12,8,0,0,0,0,0,3,16,16,0,0,0,0,1,13,16,11,0,0,0,3,15,16,16,8,0,0,0,0,3,7,16,8,0,0,0,0,0,4,16,8,0,0,0,0,0,4,16,14,0,0,0,0,0,0,14,15,5,0
"478","3",3,0,0,9,10,2,0,0,0,0,8,16,16,10,0,0,0,0,7,7,4,16,2,0,0,0,0,0,8,16,5,0,0,0,0,0,10,16,14,2,0,0,0,0,0,2,14,7,0,0,0,11,10,4,11,12,0,0,0,8,14,16,15,6,0
"479","9",9,0,0,4,10,13,3,0,0,0,4,16,13,16,8,0,0,0,5,15,0,14,11,0,0,0,3,15,15,16,16,1,0,0,0,5,9,8,14,8,0,0,0,0,0,0,12,8,0,0,0,9,15,10,14,7,0,0,0,4,12,14,11,2,0
"480","1",1,0,0,0,7,16,16,7,0,0,0,0,14,16,16,4,0,0,2,13,16,16,12,0,0,0,7,16,16,16,12,0,0,0,0,0,10,16,8,0,0,0,0,0,11,16,13,0,0,0,0,0,10,16,16,2,0,0,0,0,9,16,12,2,0
"481","9",7,0,0,4,6,11,14,6,0,0,4,16,16,12,16,7,0,0,6,16,2,1,16,3,0,0,5,16,0,5,14,0,0,0,0,2,0,11,10,0,0,0,0,0,2,15,4,0,0,0,0,0,8,16,0,0,0,0,0,0,7,12,0,0,0
"482","6",6,0,0,0,6,14,8,0,0,0,0,8,16,12,8,0,0,0,3,16,14,3,0,0,0,0,6,16,16,16,11,1,0,0,8,16,13,4,14,5,0,0,2,16,9,0,8,12,0,0,0,10,15,6,13,9,0,0,0,0,8,14,16,9,0
"483","7",8,0,0,4,6,11,5,0,0,0,2,14,7,2,15,0,0,0,4,8,0,0,10,2,0,0,0,14,8,8,13,1,0,0,0,15,10,16,7,0,0,0,1,10,0,1,10,4,0,0,0,12,2,0,6,8,0,0,0,6,10,11,7,1,0
"484","4",4,0,0,0,5,9,0,0,0,0,0,2,14,14,2,0,0,0,0,6,14,11,12,0,0,0,3,15,3,11,10,0,0,0,8,11,0,13,10,2,0,0,10,16,16,16,15,3,0,0,0,4,10,15,0,0,0,0,0,0,8,9,0,0,0
"485","3",3,0,2,13,16,4,0,0,0,0,12,12,12,15,0,0,0,0,5,2,7,14,0,0,0,0,0,3,15,15,7,0,0,0,0,4,12,12,16,3,0,0,0,0,0,0,15,7,0,0,3,16,8,9,16,6,0,0,1,11,12,14,9,0,0
"486","1",1,0,0,0,7,16,12,0,0,0,0,7,16,16,12,0,0,0,3,16,16,16,8,0,0,0,7,16,16,16,8,0,0,0,0,0,11,16,12,0,0,0,0,0,7,16,15,0,0,0,0,0,6,16,16,5,0,0,0,0,6,15,15,2,0
"487","4",4,0,0,0,7,6,0,0,0,0,0,1,15,16,7,0,0,0,0,8,13,15,6,0,0,0,3,16,3,12,7,1,0,0,4,14,9,15,16,8,0,0,4,12,12,16,10,2,0,0,0,0,5,16,0,0,0,0,0,0,4,14,0,0,0
"488","7",0,0,0,3,11,6,0,0,0,0,0,10,14,16,2,0,0,0,3,15,1,11,11,0,0,0,4,12,0,2,16,2,0,0,7,12,0,0,12,8,0,0,4,14,0,1,15,8,0,0,2,15,14,15,15,1,0,0,0,5,13,14,5,0,0
"489","5",5,0,2,16,12,12,14,7,0,0,3,16,9,8,8,4,0,0,2,16,10,4,0,0,0,0,4,16,13,16,4,0,0,0,0,3,0,12,10,0,0,0,6,3,0,9,11,0,0,0,11,11,9,16,3,0,0,0,3,12,15,7,0,0,0
"490","5",3,0,0,6,14,10,0,0,0,0,6,16,14,16,0,0,0,0,5,10,11,16,0,0,0,0,0,0,9,16,12,0,0,0,0,0,0,3,16,7,0,0,4,6,0,3,16,8,0,0,5,15,9,16,13,1,0,0,0,9,15,8,0,0,0
"491","6",6,0,0,0,6,14,1,0,0,0,0,1,16,10,0,0,0,0,0,13,14,1,0,0,0,0,2,16,12,10,3,0,0,0,5,16,15,14,16,1,0,0,3,16,12,0,15,8,0,0,0,11,16,9,16,8,0,0,0,0,11,15,11,1,0
"492","9",9,0,0,6,12,11,0,0,0,0,2,16,14,14,11,0,0,0,8,15,1,8,16,0,0,0,3,15,5,11,16,5,0,0,0,11,16,15,14,8,0,0,0,4,2,3,6,12,0,0,2,16,13,10,14,12,0,0,0,8,12,13,13,5,0
"493","8",6,0,0,0,11,16,12,1,0,0,0,5,16,10,16,4,0,0,2,15,10,0,8,1,0,0,5,16,9,1,0,0,0,0,8,16,16,9,0,0,0,0,2,16,10,16,6,0,0,0,0,11,16,16,7,0,0,0,0,1,8,13,0,0,0
"494","1",1,0,0,0,4,14,14,4,0,0,0,1,15,16,16,2,0,0,2,13,16,16,16,0,0,0,8,16,16,16,16,0,0,0,2,7,8,16,16,1,0,0,0,0,4,16,16,0,0,0,0,0,4,16,16,2,0,0,0,0,4,16,15,4,0
